model,market_suffix,prob_bin_label,prob_bin_mid,num_bets,actual_win_rate_pct,avg_pred_prob,wins_in_bin,cumulative_bets_onwards,cumulative_wins_onwards,cumulative_wr_onwards
gradient_boosting__without_odds,prob_O35,[0.10-0.15),0.125,476,26.89075630252101,0.13144485573836004,128.0,109445,32895.0,30.05619260815935
gradient_boosting__without_odds,prob_O35,[0.15-0.20),0.17500000000000002,2483,26.94321385420862,0.18079143247094176,669.0,108969,32767.0,30.070019913920472
gradient_boosting__without_odds,prob_O35,[0.20-0.25),0.225,9260,25.7451403887689,0.22982955254221593,2384.0,106486,32098.0,30.14292958698796
gradient_boosting__without_odds,prob_O35,[0.25-0.30),0.275,57745,29.043207204086936,0.28598558343101554,16771.0,97226,29714.0,30.56178388496904
gradient_boosting__without_odds,prob_O35,[0.30-0.35),0.32500000000000007,29779,32.06957923368817,0.3215263122704096,9550.0,39481,12943.0,32.78285757706239
gradient_boosting__without_odds,prob_O35,[0.35-0.40),0.375,6634,34.02170636116973,0.36858124833707206,2257.0,9702,3393.0,34.9721706864564
gradient_boosting__without_odds,prob_O35,[0.40-0.45),0.42500000000000004,1709,36.22001170275015,0.42148449713682673,619.0,3068,1136.0,37.027379400260756
gradient_boosting__without_odds,prob_O35,[0.45-0.50),0.475,723,35.40802213001383,0.4713284060203474,256.0,1359,517.0,38.042678440029434
gradient_boosting__without_odds,prob_O35,[0.50-0.55),0.525,310,34.516129032258064,0.521106763149416,107.0,636,261.0,41.0377358490566
gradient_boosting__without_odds,prob_O35,[0.55-0.60),0.5750000000000001,167,40.119760479041915,0.5727587755091318,67.0,326,154.0,47.239263803680984
gradient_boosting__without_odds,prob_O35,[0.60-0.65),0.625,85,45.88235294117647,0.622543952862228,39.0,159,87.0,54.71698113207547
gradient_boosting__without_odds,prob_O35,[0.65-0.70),0.675,38,78.94736842105263,0.6740950266451052,30.0,74,48.0,64.86486486486487
gradient_boosting__without_odds,prob_O35,[0.70-0.75),0.7250000000000001,36,50.0,0.7157886403614654,18.0,36,18.0,50.0
gradient_boosting__without_odds,prob_O35_and_BTTS_N,[0.00-0.05),0.025,102305,4.702604955769512,0.029794716551574497,4811.0,109493,5424.0,4.9537413350625155
