model,market_suffix,prob_bin_label,prob_bin_mid,num_bets,actual_win_rate_pct,avg_pred_prob
poisson_pca_without_odds,prob_U35,[0.55-0.60),0.5750000000000001,4792,58.20116861435726,0.5787091492270876
poisson_pca_without_odds,prob_U35,[0.60-0.65),0.625,11545,62.910350801212644,0.628658547552473
poisson_pca_without_odds,prob_U35,[0.65-0.70),0.675,31645,67.96334334018013,0.6818758664134973
poisson_pca_without_odds,prob_U35,[0.70-0.75),0.7250000000000001,36459,72.33056309827477,0.7248181809397971
poisson_pca_without_odds,prob_U35,[0.75-0.80),0.775,18854,77.44245252996713,0.7695406348710414
poisson_pca_without_odds,prob_U35,[0.80-0.85),0.8250000000000001,2909,81.0931591612238,0.8151154697871137
poisson_pca_without_odds,prob_U35,[0.85-0.90),0.875,97,86.5979381443299,0.8595579370098236
poisson_pca_without_odds,prob_BTTS_Y,[0.30-0.35),0.32500000000000007,37,45.94594594594595,0.3354914213253308
poisson_pca_without_odds,prob_BTTS_Y,[0.35-0.40),0.375,326,43.86503067484663,0.3844957657124871
poisson_pca_without_odds,prob_BTTS_Y,[0.40-0.45),0.42500000000000004,3780,46.42857142857143,0.4336961641443573
poisson_pca_without_odds,prob_BTTS_Y,[0.45-0.50),0.475,22054,48.131858166319034,0.48049982328536184
poisson_pca_without_odds,prob_BTTS_Y,[0.50-0.55),0.525,50266,51.11606254724864,0.5258485702039372
poisson_pca_without_odds,prob_BTTS_Y,[0.55-0.60),0.5750000000000001,25507,54.96530364213746,0.5703187314309541
poisson_pca_without_odds,prob_BTTS_Y,[0.60-0.65),0.625,6533,57.67641206183989,0.6186873030905443
poisson_pca_without_odds,prob_BTTS_Y,[0.65-0.70),0.675,1108,59.47653429602888,0.6668445585991233
poisson_pca_without_odds,prob_BTTS_Y,[0.70-0.75),0.7250000000000001,128,57.8125,0.7182559873365811
poisson_pca_without_odds,prob_BTTS_N,[0.25-0.30),0.275,128,42.1875,0.28174401266341886
poisson_pca_without_odds,prob_BTTS_N,[0.30-0.35),0.32500000000000007,1108,40.52346570397112,0.3331554414008767
poisson_pca_without_odds,prob_BTTS_N,[0.35-0.40),0.375,6533,42.32358793816011,0.38131269690945563
poisson_pca_without_odds,prob_BTTS_N,[0.40-0.45),0.42500000000000004,25507,45.03469635786254,0.4296812685690459
poisson_pca_without_odds,prob_BTTS_N,[0.45-0.50),0.475,50266,48.88393745275136,0.47415142979606284
poisson_pca_without_odds,prob_BTTS_N,[0.50-0.55),0.525,22054,51.86814183368097,0.5195001767146382
poisson_pca_without_odds,prob_BTTS_N,[0.55-0.60),0.5750000000000001,3780,53.57142857142857,0.5663038358556427
poisson_pca_without_odds,prob_BTTS_N,[0.60-0.65),0.625,326,56.13496932515337,0.6155042342875129
poisson_pca_without_odds,prob_BTTS_N,[0.65-0.70),0.675,37,54.054054054054056,0.6645085786746693
poisson_pca_without_odds,prob_goals_0_1,[0.00-0.05),0.025,81,3.7037037037037033,0.03529725479310497
poisson_pca_without_odds,prob_goals_0_1,[0.05-0.10),0.07500000000000001,671,11.773472429210134,0.08196184040848492
poisson_pca_without_odds,prob_goals_0_1,[0.10-0.15),0.125,3713,14.462698626447617,0.1315535492639314
poisson_pca_without_odds,prob_goals_0_1,[0.15-0.20),0.17500000000000002,14927,17.74636564614457,0.18000042167896133
poisson_pca_without_odds,prob_goals_0_1,[0.20-0.25),0.225,43365,22.781044621238326,0.2294300855597488
poisson_pca_without_odds,prob_goals_0_1,[0.25-0.30),0.275,35942,27.48873184575149,0.2718002897619147
poisson_pca_without_odds,prob_goals_0_1,[0.30-0.35),0.32500000000000007,9766,32.623387261929146,0.31775582739876573
poisson_pca_without_odds,prob_goals_0_1,[0.35-0.40),0.375,1226,33.605220228384994,0.3648212503581622
poisson_pca_without_odds,prob_goals_0_1,[0.40-0.45),0.42500000000000004,70,44.285714285714285,0.4147718898844664
poisson_pca_without_odds,prob_goals_2_3,[0.15-0.20),0.17500000000000002,20,35.0,0.17951533312438145
poisson_pca_without_odds,prob_goals_2_3,[0.20-0.25),0.225,47,34.04255319148936,0.22906332835842827
poisson_pca_without_odds,prob_goals_2_3,[0.25-0.30),0.275,143,41.95804195804196,0.27936527657818405
poisson_pca_without_odds,prob_goals_2_3,[0.30-0.35),0.32500000000000007,443,39.954853273137694,0.33069705431319174
poisson_pca_without_odds,prob_goals_2_3,[0.35-0.40),0.375,2024,39.32806324110672,0.3821152775004502
poisson_pca_without_odds,prob_goals_2_3,[0.40-0.45),0.42500000000000004,18324,43.975114603798296,0.4348075890246314
poisson_pca_without_odds,prob_goals_2_3,[0.45-0.50),0.475,88749,46.251788752549324,0.4642177552393191
poisson_pca_without_odds,prob_goals_2_4,[0.35-0.40),0.375,24,50.0,0.37928754075545107
poisson_pca_without_odds,prob_goals_2_4,[0.40-0.45),0.42500000000000004,58,55.172413793103445,0.4293903847149978
poisson_pca_without_odds,prob_goals_2_4,[0.45-0.50),0.475,150,69.33333333333334,0.4797938497308085
poisson_pca_without_odds,prob_goals_2_4,[0.50-0.55),0.525,606,54.95049504950495,0.5330199664120352
poisson_pca_without_odds,prob_goals_2_4,[0.55-0.60),0.5750000000000001,15768,58.954845256215116,0.5885394360448831
poisson_pca_without_odds,prob_goals_2_4,[0.60-0.65),0.625,93131,61.06130074840815,0.6121081492270904
poisson_pca_without_odds,prob_goals_3_plus,[0.30-0.35),0.32500000000000007,229,34.49781659388647,0.3356047593176759
poisson_pca_without_odds,prob_goals_3_plus,[0.35-0.40),0.375,2426,39.81863149216818,0.38252920444818933
poisson_pca_without_odds,prob_goals_3_plus,[0.40-0.45),0.42500000000000004,11902,42.7743236430852,0.43020228315859205
poisson_pca_without_odds,prob_goals_3_plus,[0.45-0.50),0.475,29312,47.44814410480349,0.4769434341979308
poisson_pca_without_odds,prob_goals_3_plus,[0.50-0.55),0.525,36258,52.355342269292294,0.5228720183578192
poisson_pca_without_odds,prob_goals_3_plus,[0.55-0.60),0.5750000000000001,17220,58.838559814169564,0.5720182207913042
poisson_pca_without_odds,prob_goals_3_plus,[0.60-0.65),0.625,7567,62.12501651909608,0.6217297166903317
poisson_pca_without_odds,prob_goals_3_plus,[0.65-0.70),0.675,3113,67.23417924831352,0.6715181043560495
poisson_pca_without_odds,prob_goals_3_plus,[0.70-0.75),0.7250000000000001,1094,66.54478976234005,0.721179724376634
poisson_pca_without_odds,prob_goals_3_plus,[0.75-0.80),0.775,431,71.46171693735499,0.7707716218273024
poisson_pca_without_odds,prob_goals_3_plus,[0.80-0.85),0.8250000000000001,171,76.60818713450293,0.8206296774262122
poisson_pca_without_odds,prob_goals_3_plus,[0.85-0.90),0.875,24,79.16666666666666,0.8678290468618949
poisson_pca_without_odds,prob_H_and_O15,[0.00-0.05),0.025,233,7.725321888412018,0.03507947526218211
poisson_pca_without_odds,prob_H_and_O15,[0.05-0.10),0.07500000000000001,1085,6.267281105990784,0.07851699695917841
poisson_pca_without_odds,prob_H_and_O15,[0.10-0.15),0.125,2894,13.199723565998617,0.12891423340459437
poisson_pca_without_odds,prob_H_and_O15,[0.15-0.20),0.17500000000000002,6468,17.37786023500309,0.17763151854747702
poisson_pca_without_odds,prob_H_and_O15,[0.20-0.25),0.225,11430,22.88713910761155,0.22699420161165662
poisson_pca_without_odds,prob_H_and_O15,[0.25-0.30),0.275,16732,26.016017212526894,0.27623464773654727
poisson_pca_without_odds,prob_H_and_O15,[0.30-0.35),0.32500000000000007,24861,32.42025662684526,0.3299592340065109
poisson_pca_without_odds,prob_H_and_O15,[0.35-0.40),0.375,16354,37.238596062125474,0.373969741735881
poisson_pca_without_odds,prob_H_and_O15,[0.40-0.45),0.42500000000000004,11646,43.465567576850425,0.42342675062457846
poisson_pca_without_odds,prob_H_and_O15,[0.45-0.50),0.475,7189,48.05953540130755,0.4727549584258577
poisson_pca_without_odds,prob_H_and_O15,[0.50-0.55),0.525,4283,54.44781695073546,0.522684187294232
poisson_pca_without_odds,prob_H_and_O15,[0.55-0.60),0.5750000000000001,2569,60.023355391202806,0.5727723922786918
poisson_pca_without_odds,prob_H_and_O15,[0.60-0.65),0.625,1604,62.094763092269325,0.6230608164514112
poisson_pca_without_odds,prob_H_and_O15,[0.65-0.70),0.675,1021,68.07051909892262,0.6732624811098774
poisson_pca_without_odds,prob_H_and_O15,[0.70-0.75),0.7250000000000001,669,68.90881913303438,0.7224958995082094
poisson_pca_without_odds,prob_H_and_O15,[0.75-0.80),0.775,403,75.68238213399503,0.7727257650179746
poisson_pca_without_odds,prob_H_and_O15,[0.80-0.85),0.8250000000000001,198,76.76767676767676,0.8224702739483611
poisson_pca_without_odds,prob_H_and_O15,[0.85-0.90),0.875,122,88.52459016393442,0.8706317308323639
poisson_pca_without_odds,prob_D_and_O15,[0.00-0.05),0.025,167,5.389221556886228,0.036284329655791585
poisson_pca_without_odds,prob_D_and_O15,[0.05-0.10),0.07500000000000001,1286,9.097978227060652,0.08201264084695725
poisson_pca_without_odds,prob_D_and_O15,[0.10-0.15),0.125,7720,13.27720207253886,0.13233132172937875
poisson_pca_without_odds,prob_D_and_O15,[0.15-0.20),0.17500000000000002,100588,17.830158667037818,0.18047467886509908
poisson_pca_without_odds,prob_A_and_O15,[0.00-0.05),0.025,1283,4.208885424785659,0.03419915548129018
poisson_pca_without_odds,prob_A_and_O15,[0.05-0.10),0.07500000000000001,5121,7.596172622534661,0.0791653870293954
poisson_pca_without_odds,prob_A_and_O15,[0.10-0.15),0.125,13653,12.055958397421811,0.12829432694638815
